R,680,453
S,257,613
R,802,508
R,981,369
R,361,49
S,1,613
S,726,65
S,477,498
S,764,786
R,923,760
R,359,742
S,843,100
S,332,627
S,69,941
S,212,131
R,156,706
R,496,883
S,619,517
S,149,626
S,566,66
S,385,275
R,517,474
R,908,499
R,553,667
R,322,968
R,650,411
R,340,214
S,43,491
S,24,925
S,76,877
S,495,481
S,168,790
S,873,48
S,127,132
R,310,998
S,141,324
R,641,575
R,335,71
S,386,511
S,391,569
R,615,895
R,517,489
S,312,985
S,53,576
R,286,265
S,789,131
R,640,42
R,303,785
R,55,865
R,240,270
R,54,729
S,65,647
R,148,85
R,241,583
R,817,377
S,704,263
R,831,214
R,773,196
R,850,65
R,943,890
S,441,830
R,292,851
R,999,875
S,686,899
S,631,550
R,799,641
R,764,823
R,752,772
R,23,898
R,813,31
R,323,163
R,904,291
R,608,180
S,862,249
R,586,513
S,671,514
S,55,58
R,387,649
R,251,101
R,277,76
S,886,285
R,519,792
S,394,9
S,18,699
R,439,735
R,22,396
S,759,535
S,311,967
S,246,648
R,33,93
S,523,435
S,253,809
S,732,372
R,571,618
R,135,619
R,1,229
R,776,668
R,324,713
S,959,763
R,275,734
R,264,184
R,983,107
R,390,609
S,322,579
S,965,662
R,393,21
R,476,178
R,975,607
S,676,146
S,137,323
R,890,551
R,802,543
R,89,579
R,382,71
R,117,296
S,420,740
S,550,309
R,706,151
R,617,323
S,26,448
S,50,167
S,449,709
R,805,896
R,450,157
R,636,59
S,125,384
S,500,52
S,462,617
S,54,782
R,666,319
S,564,8
S,954,494
S,151,796
S,353,646
R,431,246
S,267,158
S,601,73
R,235,849
R,63,984
R,438,19
S,449,974
R,251,109
R,135,972
S,682,788
R,132,638
R,913,318
S,692,624
R,884,532
S,62,515
R,655,235
S,858,950
R,285,613
S,30,850
R,81,806
R,27,196
R,314,482
S,278,480
S,590,655
R,34,955
R,447,826
S,727,567
R,165,696
R,70,833
S,184,551
S,825,714
R,942,627
S,42,493
S,590,590
R,127,777
R,359,208
S,417,711
S,291,114
S,353,56
R,191,827
R,374,209
R,738,553
S,803,714
S,563,834
R,226,422
R,174,160
S,403,926
R,978,707
R,711,798
S,885,130
R,328,187
S,966,228
S,273,787
S,208,27
S,894,190
S,538,469
R,588,259
S,2,612
R,821,276
R,939,919
R,609,682
S,666,47
S,457,878
R,868,984
S,154,59
R,183,985
R,221,665
S,114,526
S,396,34
R,392,519
R,81,142
R,952,905
S,381,610
R,357,913
S,58,765
R,912,974
R,899,934
S,829,836
R,32,128
R,175,357
R,20,142
S,820,348
R,59,991
R,476,12
S,403,352
S,209,262
R,990,664
S,341,516
S,560,688
R,66,107
S,254,313
R,685,409
R,441,102
R,372,168
R,860,652
R,982,72
S,436,227
S,483,826
S,718,109
R,271,697
S,295,799
S,817,464
R,596,643
S,434,179
S,398,529
S,151,137
R,869,593
R,269,718
R,907,668
R,294,732
S,354,7
R,978,324
R,348,411
R,32,734
R,394,546
S,853,921
R,62,329
S,184,773
R,749,140
S,154,610
R,648,983
S,131,883
S,805,689
S,897,386
S,418,211
R,169,271
S,158,216
R,487,438
R,740,601
R,140,998
S,317,779
R,162,34
S,963,249
S,252,95
R,14,235
R,432,645
S,326,260
S,540,411
S,840,434
S,469,104
R,15,84
S,76,827
S,716,654
R,503,780
S,117,456
S,412,532
R,403,959
R,471,584
R,85,200
R,834,933
S,909,478
S,719,178
S,513,883
S,609,465
R,717,609
R,882,253
S,529,955
R,446,336
R,865,319
R,76,688
R,494,946
R,352,360
S,16,861
R,448,104
R,902,539
R,547,240
R,717,898
S,360,747
S,177,519
R,128,877
S,304,637
S,348,789
S,266,658
R,469,206
R,83,57
R,114,417
S,873,1
R,772,234
S,881,595
R,910,293
R,669,491
R,755,690
S,82,784
S,814,263
S,135,921
S,920,152
S,804,877
R,429,806
R,841,187
R,503,246
R,908,308
S,986,881
R,549,817
R,225,332
R,314,855
R,972,60
S,187,378
R,442,337
S,314,237
S,996,138
S,866,653
R,544,658
R,831,78
S,879,420
R,8,186
R,131,481
S,146,53
S,543,750
R,653,923
R,669,861
S,576,97
S,757,923
R,977,700
R,687,959
R,721,415
R,236,799
R,957,916
R,533,477
S,229,304
R,285,90
S,343,607
S,127,183
R,985,875
S,515,901
R,679,66
R,861,734
R,279,775
R,66,325
R,878,595
R,751,148
R,20,902
R,41,676
R,687,114
R,902,367
R,986,25
